id,first_name,last_name,position,salary,department_id
a1111111-1111-1111-1111-111111111111,John,Smith,LEAD,120000,11111111-1111-1111-1111-111111111111
a1111111-1111-1111-1111-111111111112,Alice,Brown,JUNIOR,60000,11111111-1111-1111-1111-111111111111

a2222222-2222-2222-2222-222222222221,Michael,Johnson,SENIOR,90000,22222222-2222-2222-2222-222222222222
a2222222-2222-2222-2222-222222222222,Sarah,Connor,MIDDLE,85000,22222222-2222-2222-2222-222222222222
a2222222-2222-2222-2222-222222222223,Robert,King,JUNIOR,55000,22222222-2222-2222-2222-222222222222

a3333333-3333-3333-3333-333333333331,David,White,SENIOR,150000,33333333-3333-3333-3333-333333333333
a3333333-3333-3333-3333-333333333332,Linda,Green,MIDDLE,110000,33333333-3333-3333-3333-333333333333

a4444444-4444-4444-4444-444444444441,Emily,Stone,LEAD,130000,44444444-4444-4444-4444-444444444444

a5555555-5555-5555-5555-555555555551,Chris,Walker,JUNIOR,70000,55555555-5555-5555-5555-555555555555
a5555555-5555-5555-5555-555555555552,Mary,Adams,MIDDLE,72000,55555555-5555-5555-5555-555555555555
a5555555-5555-5555-5555-555555555553,Tom,Baker,SENIOR,90000,55555555-5555-5555-5555-555555555555

a6666666-6666-6666-6666-666666666661,Olivia,Brooks,JUNIOR,50000,66666666-6666-6666-6666-666666666666
a6666666-6666-6666-6666-666666666662,Henry,Foster,MIDDLE,52000,66666666-6666-6666-6666-666666666666

a7777777-7777-7777-7777-777777777771,Lucas,Price,MIDDLE,65000,77777777-7777-7777-7777-777777777777
