id,customer_id,order_date,address,total_price,order_status
33333333-0000-0000-0000-000000000001,22222222-0000-0000-0000-000000000001,2024-11-01T10:20:00,Astana Main St 1,75000.00,CANCELLED
33333333-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000002,2024-11-02T09:10:00,Almaty Green St 12,135000.00,CREATED
33333333-0000-0000-0000-000000000003,22222222-0000-0000-0000-000000000003,2024-11-03T11:15:00,Shymkent Central Ave 9,42000.00,IN_PROGRESS
33333333-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000004,2024-11-04T14:00:00,Astana Mira 22,98000.00,COMPLETED
33333333-0000-0000-0000-000000000005,22222222-0000-0000-0000-000000000005,2024-11-05T16:47:00,Almaty Panfilova 31,120000.00,IN_PROGRESS
33333333-0000-0000-0000-000000000006,22222222-0000-0000-0000-000000000006,2024-11-06T12:40:00,Karaganda Abaya 4,26000.00,CREATED
33333333-0000-0000-0000-000000000007,22222222-0000-0000-0000-000000000007,2024-11-07T09:30:00,Pavlodar Center 11,43000.00,IN_PROGRESS
33333333-0000-0000-0000-000000000008,22222222-0000-0000-0000-000000000008,2024-11-08T18:23:00,Kostanay Stepnaya 5,21000.00,CREATED
33333333-0000-0000-0000-000000000009,22222222-0000-0000-0000-000000000009,2024-11-09T08:53:00,Astana Mangilik 44,88000.00,IN_PROGRESS
33333333-0000-0000-0000-000000000010,22222222-0000-0000-0000-000000000010,2024-11-10T12:14:00,Almaty Dostyk 77,32000.00,COMPLETED
33333333-0000-0000-0000-000000000011,22222222-0000-0000-0000-000000000001,2024-11-11T14:14:00,Astana Main St 1,54000.00,IN_PROGRESS
33333333-0000-0000-0000-000000000012,22222222-0000-0000-0000-000000000002,2024-11-12T13:20:00,Almaty Green St 12,22000.00,CREATED
33333333-0000-0000-0000-000000000013,22222222-0000-0000-0000-000000000003,2024-11-13T09:40:00,Shymkent Central Ave 9,105000.00,CREATED
33333333-0000-0000-0000-000000000014,22222222-0000-0000-0000-000000000004,2024-11-14T10:10:00,Astana Mira 22,59000.00,COMPLETED
33333333-0000-0000-0000-000000000015,22222222-0000-0000-0000-000000000005,2024-11-15T09:21:00,Almaty Panfilova 31,27000.00,CANCELLED
33333333-0000-0000-0000-000000000016,22222222-0000-0000-0000-000000000006,2024-11-16T15:40:00,Karaganda Abaya 4,36000.00,CREATED
33333333-0000-0000-0000-000000000017,22222222-0000-0000-0000-000000000007,2024-11-17T16:55:00,Pavlodar Center 11,186000.00,CANCELLED
33333333-0000-0000-0000-000000000018,22222222-0000-0000-0000-000000000008,2024-11-18T11:45:00,Kostanay Stepnaya 5,45000.00,CREATED
33333333-0000-0000-0000-000000000019,22222222-0000-0000-0000-000000000009,2024-11-19T09:12:00,Astana Mangilik 44,76000.00,COMPLETED
33333333-0000-0000-0000-000000000020,22222222-0000-0000-0000-000000000010,2024-11-20T18:30:00,Almaty Dostyk 77,90000.00,CANCELLED
